,,,,,UM 49 08 Rekomendasi Atas Penghapusbukuan Aset.pdf,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
No,No Aset,Subreg,Cabang,Profit Center,Keterangan Aset,Asset Class,Nilai Aset,Umur Ekonomis,Tanggal Perolehan,Nilai Perolehan,Mekanisme Penghapusbukuan  ,Alasan Penghapusan ,Kajian Hukum,Kajian Ekonomis,Kajian Risiko,Nilai Pasar,Realisasi Pelaksanaan Penghapusbukuan,,,,,,,,
,,,,,,,,,,,,,,,,,Aset telah dilakukan penghapusbukuan secara Administrasi atau Jual Lelang (Ya/Tidak),Jika Tidak Dilakukan Penghapusbukuan sebutkan alasannya, Realisasi Metode Penghapusbukuan (Jual Lelang/Hapus Administrasi),Tahun Pelaksanaan,Nominal Terjual,Nilai PPN + Materai + Dll,Dokumen Laporan Pelaksanaan Penghapusbukuan dari Regional/Sub Regional/Cabang ke KANTOR PUSAT Pelindo 3/Regional Head 3,,Cek DAT
43,1205030000201,REGION JAWA,REGION JATIM,12201,Overhaul Gearbox Mesin Induk & Mesin Bantu MPS031,Alat-alat Fisipel,Rp218.781.750,240,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,Ya,,Jual Lelang,31/12/2021,71.150.000,78.275.000,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9,,#N/A
44,120508000123,REGION KALIMANTAN ,KOTABARU,12505,Mobil Toyota Kijang Pick Up,Kendaraan ,Rp1,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp12.800.000,Ya,,Jual Lelang,31/12/2021,12.800.000,14.090.000,https://drive.google.com/file/d/1QIyLpPOh8wKc2BSEGmv8Vj5Y_CPoYPWC/view?usp=drive_link,,#N/A
45,120508000124,REGION KALIMANTAN ,KOTABARU,12505,Mobil Toyota Kijang Type LSX,Kendaraan ,Rp1,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp17.200.000,Ya,,Jual Lelang,31/12/2021,17.200.000,18.930.000,https://drive.google.com/file/d/1QIyLpPOh8wKc2BSEGmv8Vj5Y_CPoYPWC/view?usp=drive_link,,#N/A
46,120508000128,REGION KALIMANTAN ,KOTABARU,12505,Mobil Toyota Kijang Type LSX,Kendaraan ,Rp1,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp22.100.000,Ya,,Jual Lelang,31/12/2021,22.100.000,24.320.000,https://drive.google.com/file/d/1QIyLpPOh8wKc2BSEGmv8Vj5Y_CPoYPWC/view?usp=drive_link,,#N/A
47,120508000129,REGION KALIMANTAN ,KOTABARU,12505,Mobil Toyota Kijang Type LGXLUX,Kendaraan ,Rp138.182,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp17.700.000,Ya,,Jual Lelang,31/12/2021,17.700.000,19.480.000,https://drive.google.com/file/d/1QIyLpPOh8wKc2BSEGmv8Vj5Y_CPoYPWC/view?usp=drive_link,,#N/A
48,120508000130,REGION KALIMANTAN ,KOTABARU,12505,Mobil Toyota Kijang Krista Type LGX 2.0 EFi,Kendaraan ,Rp358.364,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp21.400.000,Ya,,Jual Lelang,31/12/2021,21.400.000,23.550.000,https://drive.google.com/file/d/1QIyLpPOh8wKc2BSEGmv8Vj5Y_CPoYPWC/view?usp=drive_link,,#N/A
49,120508000134,REGION KALIMANTAN ,KOTABARU,12505,Mitsubishi L200,Kendaraan ,Rp16.977.272,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp17.100.000,Ya,,Jual Lelang,31/12/2021,17.100.000,18.820.000,https://drive.google.com/file/d/1QIyLpPOh8wKc2BSEGmv8Vj5Y_CPoYPWC/view?usp=drive_link,,#N/A
50,120508000135,REGION KALIMANTAN ,KOTABARU,12505,Toyota Fortuner,Kendaraan ,Rp73.614.545,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp74.100.000,Ya,,Jual Lelang,31/12/2021,74.100.000,81.520.000,https://drive.google.com/file/d/1QIyLpPOh8wKc2BSEGmv8Vj5Y_CPoYPWC/view?usp=drive_link,,#N/A
51,120508000136,REGION KALIMANTAN ,KOTABARU,12505,Toyota Innova,Kendaraan ,Rp33.123.576,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp37.000.000,Ya,,Jual Lelang,31/12/2021,37.000.000,40.710.000,https://drive.google.com/file/d/1QIyLpPOh8wKc2BSEGmv8Vj5Y_CPoYPWC/view?usp=drive_link,,#N/A
52,120508000136,REGION KALIMANTAN ,KOTABARU,12505,Toyota Avanza,Kendaraan ,Rp33.123.576,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp28.800.000,Ya,,Jual Lelang,31/12/2021,28.800.000,31.690.000,https://drive.google.com/file/d/1QIyLpPOh8wKc2BSEGmv8Vj5Y_CPoYPWC/view?usp=drive_link,,#N/A
